cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
55203,480.52,True,32982336,7979984,10066808,7766953,12088272,14174544,7759040,6575056,8661360,6374437,6259664,8346392,6052024,8922064,11008280,8723101,9626576,11713112,9414408
55202,379.53,True,57204528,6152144,8238544,6005629,10215376,12301224,5949776,4874192,6960080,4738185,4751312,6837624,4606656,6848464,8934264,6715525,7417808,9503920,7272652
55201,630.503,True,48718088,7488464,9575080,7287097,11723728,13809792,7406846,5764048,7850144,5574131,5129168,7215696,4930672,8950736,11036744,8762088,9929680,12016008,9730321
55200,438.081,True,34579080,9306576,11392464,9158875,12878288,14963624,8611362,7553488,9638864,7416314,5853648,7939448,5709800,10113488,12198776,9979444,10797520,12883120,10650215
55199,165.072,True,20863224,4719568,6804944,4572269,8750032,10834856,4485834,3871696,5956560,3733696,3167184,5252472,3019508,5174224,7259000,5037103,5534672,7619760,5385790
55198,300.295,True,20694576,5611472,7697872,5466755,9568208,11654056,5304263,4657104,6742992,4521816,3862480,5948792,3715604,6107088,8192888,5973067,6512592,8598704,6366516
55197,387.762,True,70385504,16441808,18529096,16240171,20525520,22612256,16204071,13267408,15354176,13076731,12653008,14740208,12452388,18571728,20658408,18382359,20058576,22145576,19857730
55196,373.651,True,107738912,15070160,17155544,14922382,18584528,20669352,14319154,12211152,14296016,12074737,10236880,12322168,10090428,16450512,18535288,16313166,17494992,19580080,17345633
55195,263.493,True,71299048,17294800,19379664,17147395,19703248,21787560,15436837,12867024,14951376,12727804,12203472,14288248,12057676,19183056,21267320,19048278,20395472,22480048,20246551
55194,228.882,True,37965328,9635280,11720144,9487021,13133264,15217576,8866882,7734736,9819088,7598275,6583760,8668536,6438460,10540496,12624760,10404504,11236816,13321392,11088807
