cid,date,time,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4,basic-cid,basic-date,basic-time,basic-vmlinux,basic-GZIP-bzImage,basic-GZIP-vmlinux,basic-GZIP,basic-BZIP2-bzImage,basic-BZIP2-vmlinux,basic-BZIP2,basic-LZMA-bzImage,basic-LZMA-vmlinux,basic-LZMA,basic-XZ-bzImage,basic-XZ-vmlinux,basic-XZ,basic-LZO-bzImage,basic-LZO-vmlinux,basic-LZO,basic-LZ4-bzImage,basic-LZ4-vmlinux,basic-LZ
70539,2018-06-30 14:35:42,244.361,48476184,8684496,10769872,8536891,12485584,14570408,8221245,7087056,9171920,6949726,6628304,8713592,6484336,9515984,11600760,9380058,10130384,12215472,9982778,70540,2018-06-30 14:43:31,242.881,48476184,8684496,10769872,8536890,12485584,14570408,8221047,7087056,9171920,6949743,6624208,8709496,6478948,9515984,11600760,9380058,10130384,12215472,9982778
70542,2018-06-30 15:02:25,301.996,32280744,6750672,8836560,6604983,10506704,12592040,6240388,5329360,7414736,5190703,4575696,6661496,4431788,7410128,9495416,7274134,7913936,9999536,7769173,70543,2018-06-30 15:11:58,307.91,32280744,6750672,8836560,6604972,10506704,12592040,6240198,5325264,7410640,5190052,4579792,6665592,4431948,7410128,9495416,7274133,7913936,9999536,7769173
70545,2018-06-30 15:32:11,301.938,45803792,12047824,14132688,11898054,16070096,18154408,11805299,9418192,11502544,9280236,9127376,11212152,8981860,13407696,15491960,13271683,14517712,16602288,14368414,70546,2018-06-30 15:42:36,295.805,45803840,12047824,14132688,11898664,16070096,18154408,11804324,9430480,11514832,9290934,9119184,11203960,8973088,13407696,15491960,13273275,14517712,16602288,14369073
70548,2018-06-30 16:02:30,462.903,65914280,6173648,8259024,6025486,10056656,12141480,5791489,5116880,7201744,4980274,4858832,6944120,4714024,6775760,8860536,6639348,7226320,9311408,7078532,70549,2018-06-30 16:14:38,468.934,65914296,6173648,8259024,6025288,10056656,12141480,5791347,5120976,7205840,4982184,4858832,6944120,4713072,6775760,8860536,6639250,7226320,9311408,7078667
70551,2018-06-30 16:34:58,381.346,24979904,6397904,8484304,6249567,10305488,12391336,6041687,5357520,7443408,5220750,5099472,7185784,4953852,6950864,9036664,6817480,7372752,9458864,7225493,70552,2018-06-30 16:45:17,380.644,24984112,6397904,8484304,6248652,10305488,12391336,6041848,5357520,7443408,5221352,5099472,7185784,4953924,6950864,9036664,6817555,7372752,9458864,7225596
70554,2018-06-30 17:03:33,213.213,70023576,6746576,8832120,6602426,10654160,12739152,6390721,5579216,7664240,5442420,4645328,6730784,4500004,7373264,9458200,7241587,7848400,9933656,7704235,70555,2018-06-30 17:11:31,215.967,70023440,6750672,8836216,6603388,10654160,12739152,6392308,5579216,7664240,5444000,4645328,6730784,4500120,7377360,9462296,7242567,7852496,9937752,7705781
70557,2018-06-30 17:26:20,222.486,38383752,4587472,6673528,4443488,8630224,10715728,4367818,3641296,5726832,3506516,3547088,5633056,3401608,5107664,7193112,4973047,5517264,7603032,5370733,70558,2018-06-30 17:33:51,227.832,38383752,4587472,6673528,4443495,8630224,10715728,4368030,3637200,5722736,3501785,3542992,5628960,3401004,5107664,7193112,4973058,5517264,7603032,5370757
70560,2018-06-30 17:52:26,421.807,29516928,5440464,7527080,5240997,9577424,11663488,5258093,4391888,6477984,4203307,4142032,6228560,3943716,6161360,8247368,5973238,6665168,8751496,6465729,70561,2018-06-30 18:03:51,428.001,29516928,5440464,7527080,5240984,9577424,11663488,5258153,4391888,6477984,4202839,4142032,6228560,3941752,6161360,8247368,5973240,6665168,8751496,6465729
70563,2018-06-30 18:16:05,148.535,21180632,5874640,7960024,5724806,9860048,11944872,5595201,4862928,6947792,4726232,3953616,6038904,3808640,6398928,8483704,6261198,6812624,8897712,6666541,70564,2018-06-30 18:22:10,152.902,21180632,5874640,7960024,5724806,9860048,11944872,5595188,4858832,6943696,4723187,3953616,6038904,3807932,6398928,8483704,6261199,6812624,8897712,6666541
70566,2018-06-30 18:53:41,920.727,233398120,7307536,9396112,7138480,11190544,13278568,6904621,5959952,8048008,5801203,5558544,7647024,5390740,8007952,10095920,7852759,8528144,10616432,8360465,70567,2018-06-30 19:14:27,920.435,233398296,7307536,9396112,7138050,11190544,13278568,6903363,5955856,8043912,5799704,5554448,7642928,5390328,8007952,10095920,7852170,8528144,10616432,8360057
70569,2018-06-30 19:34:44,301.229,33467632,9848272,11932792,9702908,13661648,15745616,9397424,7968208,10052208,7834409,7505360,9589792,7360100,10831312,12915224,10697473,11544016,13628248,11399336,70570,2018-06-30 19:43:35,297.199,33467632,9848272,11932792,9702909,13661648,15745616,9397413,7968208,10052208,7834319,7501264,9585696,7358984,10831312,12915224,10697473,11544016,13628248,11399336
70572,2018-06-30 20:04:30,237.222,20432176,4420560,6505936,4270800,8385488,10470312,4117774,3638224,5723088,3499074,3453904,5539192,3306780,4850640,6935416,4714950,5166032,7251120,5016831,70573,2018-06-30 20:12:18,237.726,20432176,4420560,6505936,4270810,8381392,10466216,4117068,3638224,5723088,3499425,3453904,5539192,3306360,4850640,6935416,4714948,5166032,7251120,5016830
70575,2018-06-30 20:32:06,355.151,42617448,12173776,14259320,12028430,15778256,17863248,11514730,9871824,11956848,9735145,9150928,11236384,9006128,13283792,15368728,13152041,14119376,16204632,13974418,70576,2018-06-30 20:42:49,351.366,42617448,12173776,14259320,12028430,15778256,17863248,11514724,9871824,11956848,9735743,9150928,11236384,9008860,13283792,15368728,13152042,14119376,16204632,13974417
70578,2018-06-30 20:58:53,267.356,22455968,4776912,6862288,4631238,8676304,10761128,4409398,3953616,6038480,3817977,3752912,5838200,3608760,5219280,7304056,5086219,5518288,7603376,5369730,70579,2018-06-30 21:07:30,273.051,22455968,4776912,6862288,4631105,8676304,10761128,4409904,3953616,6038480,3818001,3757008,5842296,3609496,5219280,7304056,5086194,5518288,7603376,5369708
70581,2018-06-30 21:30:34,615.306,32341288,5612496,7697584,4668178,5612496,7697584,4529549,5612496,7697584,3845760,5612496,7697584,3647568,5612496,7697584,5144916,5612496,7697584,5464295,70582,2018-06-30 21:42:44,568.094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70584,2018-06-30 22:08:11,474.992,113248992,25002960,27089448,19975509,25002960,27089448,19615529,25002960,27089448,15755379,25002960,27089448,13346076,25002960,27089448,22792633,25002960,27089448,24801604,70585,2018-06-30 22:18:36,472.294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
